Orf,Beyer_Phi,SEMPPR_Mean_Phi,Ingolia_Phi
YBR210W,0.04314554,0.050035449,0.603222252
YBR211C,0.018927975,0.0194884,0.230056223
YBR212W,0.039890323,0.006564804,0.048900261
YBR213W,0.013013227,0.018999509,NA
YBR214W,0.030376454,0.021779973,0.012804073
YBR215W,0.011393173,0.020612523,0.056938358
YBR216C,0.011139148,0.0062507,0.073844333
YBR217W,0.008336871,0.022268567,0.053509867
YBR218C,0.082769083,0.021539151,NA
YBR221C,0.326437269,0.132305595,10.44166394
YBR222C,0.061151835,0.02737607,0.271369191
YBR223C,0.003582744,0.004632964,NA
YBR227C,0.028001075,0.027943686,0.133181668
YBR228W,0.005566766,0.016186586,0.018618878
YBR229C,0.029802185,0.008656198,0.072035657
YBR230C,0.158686382,0.10451546,0.309960381
YBR231C,0.045953324,0.012298773,0.072362262
YBR233W,0.009610672,0.022823705,0.037470191
YBR233W-A,NA,NA,0.766641194
YBR234C,0.135365357,0.062415169,0.762807996
YBR236C,0.052703803,0.028565317,0.246957357
YBR237W,0.005727884,0.006478282,0.02181839
YBR238C,0.014565278,0.031749245,0.013585083
YBR240C,0.002360173,0.005734225,NA
YBR243C,0.079531099,0.028897568,0.082018886
YBR244W,0.121905006,0.217683385,6.991708135
YBR245C,0.031115683,0.007854408,0.109722455
YBR247C,0.085926959,0.020697336,0.527364121
YBR248C,0.138328333,0.022200723,0.885435012
YBR249C,0.652290824,0.243875825,25.46362784
YBR250W,0.004922949,0.018291082,NA
YBR251W,0.033798025,0.039033974,0.465452021
YBR252W,0.449268309,0.208864594,4.932403491
YBR253W,0.021667475,0.050996438,0.719351622
YBR254C,0.088941128,0.048038976,0.788273228
YBR256C,0.117435927,0.066510266,1.577646185
YBR257W,0.024497982,0.032413169,0.161916123
YBR258C,0.025220764,0.066551225,0.273851565
YBR260C,0.023217407,0.014814086,0.028431715
YBR263W,0.33244568,0.058211603,1.694275784
YBR264C,0.09333103,0.028695581,0.212487523
YBR265W,0.111984136,0.032708164,0.501369374
YBR267W,0.087303149,0.025115348,1.197918987
YBR268W,0.243350454,0.044218553,0.796021913
YBR272C,0.018927675,0.021317703,0.117221338
YBR273C,0.073902937,0.020401955,0.408912191
YBR274W,0.0212556,0.018023831,0.041926523
YBR275C,0.006172994,0.001552393,0.007420477
YBR276C,0.024318407,0.00560331,0.023266215
YBR278W,0.024861745,0.037246157,0.257984258
